weather,city,scenario,time_slice,severity,weather_year,max_abs_zone_p_tail_error,mean_abs_zone_p_tail_error,max_abs_zone_expected_tsv_error,mean_abs_zone_expected_tsv_error,max_abs_equal_p_tail_error,max_abs_equal_expected_tsv_error,max_abs_mean_pmv_error,mean_abs_mean_pmv_error
houston_ssp585_mid_2050s_typical_2055,Houston,ssp585,mid_2050s,typical,2055,0.33620378921862987,0.007384778328913228,0.7707358017628221,0.02698682061161565,0.14345645684906821,0.4551739963292307,0.3493333333333333,0.021796735312899107
houston_ssp585_near_2030s_heatwave_extreme_2037,Houston,ssp585,near_2030s,heatwave_extreme,2037,0.33846073567601165,0.00700302752978946,0.7621412871794215,0.026003110472207956,0.21412795170032586,0.568037294586798,0.3993333333333333,0.020968271072796935
houston_ssp585_near_2030s_hot_2035,Houston,ssp585,near_2030s,hot,2035,0.33870591383881,0.006715738032825678,0.793015992020583,0.02570686979751547,0.15880344921934159,0.40862361842560946,0.3746666666666668,0.02107391443167305
houston_ssp585_near_2030s_typical_2038,Houston,ssp585,near_2030s,typical,2038,0.3102979364624321,0.006655378123117797,0.743054038606914,0.02524455916995015,0.1318238904572656,0.412974851604583,0.3920000000000001,0.021791467113665388
kolkata_ssp245_baseline_2020s_heatwave_extreme_2027,Kolkata,ssp245,baseline_2020s,heatwave_extreme,2027,0.3273626584709949,0.008653570693659499,0.8241221931310911,0.029432216964026942,0.19215278219151594,0.6280356943390756,0.39466666666666683,0.02458876117496807
kolkata_ssp245_baseline_2020s_hot_2028,Kolkata,ssp245,baseline_2020s,hot,2028,0.33846073567601165,0.008898857520359219,0.8166888529600821,0.030035111632702473,0.18463837327447674,0.6239746514345945,0.3939999999999998,0.025110233077905487
kolkata_ssp245_baseline_2020s_typical_2026,Kolkata,ssp245,baseline_2020s,typical,2026,0.3019205131399667,0.008119683724739655,0.8131961874135738,0.02838213519900827,0.20795615562793093,0.6071417599989246,0.40200000000000014,0.023801524584929755
kolkata_ssp245_late_2080s_heatwave_extreme_2086,Kolkata,ssp245,late_2080s,heatwave_extreme,2086,0.37597274490372856,0.011027717948583779,0.7738768974540722,0.033946390297453374,0.21212140636648089,0.6120608317104625,0.4053333333333332,0.026256465517241378
kolkata_ssp245_late_2080s_hot_2087,Kolkata,ssp245,late_2080s,hot,2087,0.33375579149738327,0.010669104242777071,0.8077071188603643,0.0334385633803143,0.18472299493901814,0.6171552633026428,0.398,0.026967432950191567
kolkata_ssp245_late_2080s_typical_2084,Kolkata,ssp245,late_2080s,typical,2084,0.4019886363636364,0.00986169281512432,0.8159828870849352,0.03130710802782306,0.18769611859202437,0.6031125554627199,0.41133333333333344,0.025307112068965514
kolkata_ssp245_mid_2050s_heatwave_extreme_2053,Kolkata,ssp245,mid_2050s,heatwave_extreme,2053,0.327362658470995,0.009877240343103728,0.7899097773351718,0.03185992401071922,0.19153285932695524,0.6202538094902887,0.3893333333333332,0.025560145274584924
