group_scope,model,event,threshold,n_steps,n_zone_steps,area_zone_time_mass,unweighted_zone_high_count,equal_zone_mean_high_count,area_weighted_mean_high_count,zone_p90_high_count,any_zone_high_count,hidden_any_zone_count,hidden_p90_count,equal_zone_mean_high_pct,area_weighted_mean_high_pct,zone_p90_high_pct,any_zone_high_pct,hidden_any_zone_pct,hidden_p90_pct,area_weighted_zone_time_high_pct,unweighted_zone_time_high_pct
global,ordinal,outermost,0.075,2405376,36080640,110938.50922987683,2242217,91252,67221,402544,574255,483003,311292,3.7936688484461474,2.794615062260536,16.73517986377182,23.873814322584078,20.080145474137932,12.941511015325672,4.612106765423652,6.214460164786434
global,ordinal,outermost,0.1,2405376,36080640,79682.35168068658,1692471,34184,22274,299635,488277,454093,265451,1.4211499574286932,0.9260090730097915,12.45688823701575,20.29940433429119,18.878254376862493,11.035738279587058,3.3126775888961473,4.690800939229459
global,ordinal,outermost,0.15,2405376,36080640,14334.121318135196,354736,2906,1464,89493,184110,181204,86587,0.12081271285653469,0.060863665389527456,3.7205409881864626,7.654104805236271,7.533292092379735,3.5997282753299276,0.5959201936884377,0.9831754647367675
global,ordinal,outermost,0.2,2405376,36080640,1411.2025715598957,35578,1012,336,7390,17732,16720,6378,0.04207242443593018,0.013968710089399743,0.3072284748829289,0.7371820455512984,0.6951096211153682,0.26515605044699875,0.05866868928433209,0.09860689832552859
global,stored_ordinal,broad_tail,0.05,2405376,36080640,2363446.017399978,35303565,2393875,2398030,2403896,2405160,11285,10021,99.52186269423159,99.69460076096212,99.93847115793955,99.99102011494253,0.4691574207109408,0.41660846370796084,98.25682211013903,97.84628266017454
global,stored_ordinal,broad_tail,0.06,2405376,36080640,1967833.9097244386,29671810,2178383,2202226,2319150,2380222,201839,140791,90.56309699606216,91.55433495636441,96.41527977330779,98.95425912622392,8.39116213016177,5.853180542252022,81.8098255625914,82.237482483681
global,stored_ordinal,broad_tail,0.07,2405376,36080640,1665588.1950848922,25469573,1794297,1735541,2169024,2284059,489762,374889,74.5952815692848,72.15258653948489,90.17401021711366,94.9564226133461,20.361141044061306,15.585463561621967,69.24440067103406,70.59069074162764
global,stored_ordinal,broad_tail,0.08,2405376,36080640,921155.8543873278,14391592,1332586,1278673,1675933,1925781,593195,350053,55.400319949978716,53.15896558375904,69.67447085195828,80.06153715676884,24.661217206790123,14.552943074180503,38.29571153895806,39.88729689938981
global,stored_ordinal,broad_tail,0.09,2405376,36080640,791761.4531079703,12155644,1036037,980492,1406823,1702642,666605,371974,43.07172766336739,40.7625252767135,58.486614982439335,70.78485858343976,27.71313092007237,15.464276686888038,32.91632797150925,33.6902117035618
global,stored_ordinal,broad_tail,0.1,2405376,36080640,665056.8219297132,10194480,859598,794298,1222136,1462083,602485,362691,35.73653349829715,33.0217812100894,50.80852224350788,60.783968909642404,25.047435411345255,15.078349497126437,27.64876767414796,28.25470945083014
